Bacterium, Iteration Born, Iteration Died, Life Span, Generation, Parent Bacterium, Number of Offspring, Alive at End
622,101,104,3,10,561,0,0
623,101,103,2,10,580,0,0
624,102,143,41,8,389,12,0
625,102,112,10,8,459,1,0
626,102,103,1,8,487,0,0
627,102,102,0,9,549,0,0
628,102,103,1,10,595,0,0
629,102,106,4,9,596,0,0
630,103,106,3,9,431,0,0
631,103,106,3,8,493,0,0
632,103,106,3,9,553,0,0
633,103,106,3,10,564,0,0
634,103,106,3,11,592,0,0
635,103,104,1,11,594,0,0
636,104,109,5,9,482,0,0
637,104,151,47,9,528,14,0
638,104,115,11,9,537,2,0
639,104,106,2,9,544,0,0
640,104,104,0,11,554,0,0
641,104,108,4,10,580,0,0
642,104,105,1,10,597,0,0
643,104,118,14,10,598,3,0
644,104,110,6,10,604,0,0
645,105,108,3,8,459,0,0
646,105,129,24,8,487,6,0
647,105,119,14,9,549,3,0
648,105,140,35,10,595,10,0
649,106,109,3,9,431,0,0
650,106,109,3,11,592,0,0
651,106,109,3,11,594,0,0
652,106,109,3,9,608,0,0
653,106,109,3,9,609,0,0
654,106,109,3,9,610,0,0
655,107,111,4,9,482,0,0
656,107,110,3,9,544,0,0
657,107,122,15,10,580,3,0
658,107,107,0,10,597,0,0
659,107,111,4,10,598,0,0
660,107,113,6,10,604,0,0
661,108,108,0,8,459,0,0
662,108,119,11,10,595,2,0
663,108,109,1,10,617,0,0
664,109,114,5,11,592,1,0
665,109,140,31,11,594,10,0
666,109,115,6,9,608,1,0
667,109,116,7,9,610,1,0
668,109,124,15,10,618,4,0
669,109,125,16,9,624,3,0
670,109,114,5,9,625,0,0
671,110,112,2,10,580,0,0
672,110,113,3,10,597,0,0
673,110,113,3,10,598,0,0
674,111,119,8,10,595,1,0
675,111,121,10,10,617,1,0
676,111,128,17,10,637,4,0
677,111,121,10,10,638,1,0
678,111,112,1,11,643,0,0
679,112,137,25,11,592,6,0
680,112,115,3,9,608,0,0
681,112,115,3,9,610,0,0
682,112,114,2,10,618,0,0
683,112,115,3,9,624,0,0
684,112,115,3,9,646,0,0
685,112,115,3,10,647,0,0
686,112,115,3,11,648,0,0
687,112,113,1,12,664,0,0
688,112,113,1,12,665,0,0
689,112,115,3,10,666,0,0
690,113,164,51,10,598,15,0
